2026-07-19 11:22:30,219 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2071.9ms)
2026-07-19 11:22:32,273 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2050.7ms)
2026-07-19 11:22:46,082 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2066.0ms)
2026-07-19 11:22:48,156 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2071.0ms)
2026-07-19 11:22:50,220 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2055.1ms)
2026-07-19 11:22:52,300 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2075.7ms)
2026-07-19 11:22:54,337 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2032.5ms)
2026-07-19 11:22:56,405 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2064.3ms)
2026-07-19 11:22:58,485 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2075.2ms)
2026-07-19 11:23:00,542 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2052.5ms)
2026-07-19 11:23:04,647 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:23:04,650 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (4093.7ms)
2026-07-19 11:23:22,867 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2080.0ms)
2026-07-19 11:23:41,577 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2055.9ms)
2026-07-19 11:23:43,627 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2046.6ms)
2026-07-19 11:23:45,692 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2062.1ms)
2026-07-19 11:23:47,744 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2047.1ms)
